Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Model Data
3 Rooms Communications LLC,TEXAS,13694.3686823042,Fixed wireless,9,1,Unlimited,44.99,0,0,44.99,10,Yes
Ace Telephone Company of Michigan Inc,MICHIGAN,20863.3789352193,FTTH,15,1,Unlimited,49.95,0,0,49.95,0,Yes
Ace Telephone Company of Michigan Inc,MICHIGAN,41726.7578704385,FTTH,1000,100,Unlimited,99.95,0,0,99.95,0,Yes
Ace Telephone Company of Michigan Inc,MICHIGAN,41726.7578704385,FTTH,8,1,Unlimited,34.95,0,0,34.95,0,Yes
Ace Telephone Company of Michigan Inc,MICHIGAN,20863.3789352193,FTTH,100,50,Unlimited,49.95,0,0,49.95,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,50,5,250,78.95,0,3.92,82.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,6847.18434115208,Fixed wireless,20,4,250,75.95,0,3.92,79.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,15,3,250,65.95,0,3.92,69.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,5,1,150,45.95,0,3.92,49.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,15,3,250,65.95,0,3.92,69.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,10,2,200,55.95,0,3.92,59.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,6847.1843411521,Fixed wireless,25,4,250,75.95,0,3.92,79.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,5,1,150,45.95,0,3.92,49.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,5,1,150,45.95,0,3.92,49.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,6847.1843411521,Fixed wireless,20,4,250,75.95,0,3.92,79.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,6847.18434115209,Fixed wireless,20,4,250,75.95,0,3.92,79.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,6847.18434115209,Fixed wireless,25,4,250,75.95,0,3.92,79.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,6847.18434115211,Fixed wireless,25,4,250,75.95,0,3.92,79.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,10,2,200,55.95,0,3.92,59.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,15,3,250,65.95,0,3.92,69.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,6847.18434115211,Fixed wireless,20,4,250,75.95,0,3.92,79.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,5,1,150,45.95,0,3.92,49.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,6847.18434115208,Fixed wireless,25,4,250,75.95,0,3.92,79.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,50,5,250,78.95,0,3.92,82.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,10,2,200,55.95,0,3.92,59.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,50,5,250,78.95,0,3.92,82.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,10,2,200,55.95,0,3.92,59.87,0,Yes
"AirCanopy Internet Services, Inc.",TEXAS,13694.3686823042,Fixed wireless,50,5,250,78.95,0,3.92,82.87,0,Yes
