Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),40 Yard,Bench Press,Vert Leap (in)
2018,Josh Adams,Notre Dame,RB,74,213,9.25,33.75,,18,
2018,Kalen Ballage,Arizona State,RB,73,228,9.5,32.75,4.46,15,33.5
2018,Saquon Barkley,Penn State,RB,72,233,9.5,31.38,4.4,29,41
2018,Nick Chubb,Georgia,RB,71,227,9.63,32,4.52,29,38.5
2018,Lavon Coleman,Washington,RB,71,215,9.25,30.5,4.65,23,33
2018,Justin Crawford,West Virginia,RB,71,199,9.13,32,4.64,11,33.5
2018,Chase Edmonds,Fordham (NY),RB,69,205,9.13,31.13,4.55,19,34
2018,Jarvion Franklin,Western Michigan,RB,71,239,9.25,31.25,4.63,18,30
2018,Royce Freeman,Oregon,RB,71,229,9.5,32,4.54,17,34
2018,Derrius Guice,Louisiana State,RB,70,224,9.75,30.75,4.49,15,31.5
2018,Kyle Hicks,Texas Christian,RB,70,204,9.5,32.5,4.63,13,36.5
2018,Nyheim Hines,North Carolina State,RB,68,198,8.88,30.75,4.38,,35.5
2018,Justin Jackson,Northwestern,RB,72,199,9.25,30.63,4.52,13,38.5
2018,Kerryon Johnson,Auburn,RB,71,213,9.75,32.5,,11,40
2018,Ronald Jones,Southern California,RB,71,205,8.75,31.13,4.65,,36.5
2018,John Kelly,Tennessee,RB,70,216,9.38,31.38,,15,35
2018,Sony Michel,Georgia,RB,71,214,9.13,31.25,4.54,22,
2018,Ryan Nall,Oregon State,RB,74,232,10.5,31.5,4.58,15,33
2018,Rashaad Penny,San Diego State,RB,71,220,9.25,31.25,4.46,13,32.5
2018,Kamryn Pettway,Auburn,RB,72,233,9.5,31.25,4.74,22,33.5
2018,Bo Scarbrough,Alabama,RB,73,228,10.5,33.5,4.52,14,40
2018,Roc Thomas,Jacksonville State (AL),RB,70,198,9.25,31.63,4.56,16,35.5
2018,Akrum Wadley,Iowa,RB,70,194,8.25,29.5,4.54,12,32
2018,Mark Walton,Miami (FL),RB,70,202,9.25,30,4.6,18,31.5
2018,Chris Warren,Texas,RB,74,247,10,32,4.69,25,33
2018,Jordan Wilkins,Mississippi,RB,73,216,9.38,30.13,,16,36
2017,Christopher Carson,Oklahoma State,RB,72.25,218,9.63,33.25,4.58,23,37
2017,Corey Clement,Wisconsin,RB,70.25,220,9.75,30.5,4.68,19,28.5
2017,Tarik Cohen,North Carolina A&T,RB,66.38,179,10.13,29.75,4.42,11,31.5
2017,James Conner,Pittsburgh,RB,73.25,233,9.88,31.25,4.65,20,29
2017,Dalvin Cook,Florida State,RB,71.13,210,9.25,32.38,4.49,22,30.5
2017,Justin Davis,Southern California,RB,72.63,208,9.63,31,,21,
2017,Matt Dayes,North Carolina State,RB,68.63,205,10.5,30,,18,28
2017,D'Onta Foreman,Texas,RB,72.25,233,10.13,31.38,,18,
2017,Leonard Fournette,Louisiana State,RB,72.13,240,9.25,31.63,4.51,,28.5
2017,Wayne Gallman,Clemson,RB,72.25,215,9.13,32.63,4.6,21,29.5
2017,DeAngelo Henderson,Coastal Carolina (SC),RB,67.5,208,9.5,29,4.48,20,34
2017,Brian Hill,Wyoming,RB,72.63,219,8.88,31.38,4.54,15,34
2017,Elijah Hood,North Carolina,RB,71.75,232,9.38,30.38,,18,
2017,Kareem Hunt,Toledo,RB,70.5,216,9.63,31.38,4.62,18,36.5
2017,Aaron Jones,Texas-El Paso,RB,69.13,208,9.5,32.5,4.56,16,37.5
2017,Alvin Kamara,Tennessee,RB,69.75,214,9.25,32.75,4.56,15,39.5
2017,T.J. Logan,North Carolina,RB,69.13,196,9,32,4.37,17,33.5
2017,Marlon Mack,South Florida,RB,70.75,213,9,32,4.5,15,35.5
2017,Christian McCaffrey,Stanford,RB,71.25,202,9,30,4.48,10,37.5
