City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(legacy
definition)2","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
"Abington Township, Lackawanna County",1750,1,0,,0,0,1,14,4,10,0,0
"Abington Township, Montgomery County",55559,63,0,,5,28,30,1146,169,952,25,4
Adamstown,1845,0,0,,0,0,0,20,4,12,4,0
"Adams Township, Butler County",12582,8,0,,0,0,8,63,11,51,1,0
"Adams Township, Cambria County",5868,0,0,,0,0,0,25,9,16,0,0
Akron,3918,6,0,,0,0,6,28,9,18,1,1
Alburtis,2390,1,0,,0,1,0,15,0,15,0,0
Aldan,4150,2,0,,1,1,0,87,4,82,1,0
Aleppo Township,1918,0,0,,0,0,0,7,0,7,0,0
Aliquippa,9323,49,1,,1,8,39,136,43,83,10,0
"Allegheny Township, Blair County",6726,29,0,,0,0,29,144,11,130,3,0
"Allegheny Township, Westmoreland County",8332,4,0,,0,2,2,100,10,90,0,0
Allentown,119277,628,12,,64,329,223,4324,1263,2724,337,10
Altoona,46103,131,2,,25,29,75,1035,259,733,43,9
Ambler,6514,12,0,,0,6,6,92,5,84,3,1
Ambridge,6963,86,0,,0,13,73,251,58,187,6,1
Amity Township,12744,3,0,,0,1,2,121,25,87,9,5
Annville Township,4852,5,0,,0,0,5,70,9,60,1,0
Armagh Township,3854,2,0,,1,0,1,9,2,7,0,0
Arnold,5076,31,0,,2,16,13,61,21,31,9,1
Ashland,2778,4,0,,0,0,4,57,16,40,1,2
Ashville,223,0,0,,0,0,0,0,0,0,0,0
Aspinwall,2796,0,0,,0,0,0,46,9,37,0,0
Aston Township,16873,7,0,,0,5,2,257,31,216,10,3
Athens,3356,4,0,,2,0,2,72,2,69,1,1
Avalon,4692,28,0,,0,0,28,105,19,80,6,0
Avis,1521,2,0,,1,0,1,5,2,3,0,0
Avondale,1431,0,0,,0,0,0,3,1,2,0,0
Avonmore Boro,992,0,0,,0,0,0,0,0,0,0,0
Baldwin Borough,19810,22,0,,2,6,14,143,29,110,4,0
Bally,1107,0,0,,0,0,0,0,0,0,0,0
Bangor,5241,25,0,,0,0,25,123,19,102,2,0
Beallsville,459,0,0,,0,0,0,0,0,0,0,0
Beaver Falls,8720,51,1,,2,17,31,407,32,364,11,1
Beaver Meadows,853,1,0,,0,0,1,8,1,7,0,0
Bedford,2778,10,0,,0,0,10,36,6,29,1,0
